Id,Title,Desc,TypeTab,SystemPlace,SortID,ParentID,FatherID,HasSwitch,SystemAtlas,SystemIcon,Systembutton,FunctionOrder,NpcJudgeFunction,CanOpenFx,FunctionPreviewOpen,BaseLevel,JobLevel,TaskId,OpenCloseTime,ServerOpenTime,ServerDescLv,NoticeDescLv,NoticeDescTask,NoticeDescTask2,CanNotice,NoticeBaseLevel,NoticeTitleText1,NoticeTitleText2,NoticeTitleAtlas,NoticeTitleImg,NoticeTitlePhoto,NoticeAtlas,NoticePhoto,NoticeReward,IsOpen,ProfessionLimit,LoginDays,AchievementLevel,IsOpenInCrossServer
143,角色属性,角色属性（7级开启）,5,,,,143,0,Icon02,UI_Icon_Juesejiadian.png,,ShowRoleInfoEvent,,,,0,,,,,,,,,,,,,,,,,,,1,,,,1
106,@衣橱##@,试穿和更换时装和饰品的界面。2级开启 （3.1号关闭0=1519833600）（9级开启）,1,3,1,,106,1,Icon01,UI_Icon_Zhuangban.png,Icon_Garderobe,GarderobeEvent,,1,,0,,1000150,,,,,,,,,,,,,,FunctionBG01,UI_functionOpen_Pic02.png,,1,,,,1
1080,兑换,用一些道具来换头饰、背饰之类的饰品,3,,,,1080,1,Icon01,UI_Icon_Zhuangban02.png,,OpenOrnamentBarterEvent,,,,10,,,,,,,,,,,,,,,,,,,1,,,,1
102,技能,默认开启无限制（10级开启）,1,1,1,,102,0,Icon01,UI_Icon_Jineng.png,Icon_Jineng,SkillEvent,,,,0,,1001070|1002070|1001570|1003060|1002550|1003550,,,,,,,,,,,,,,,,,1,,,,1
1001,转职选择,转职选择分支职业UI开启用,4,,,,,1,,,,OpenJobChoose,,,,40,,,,,,,,,,,,,,,,,,,1,,,,1
9001,转职,让自己变得更强的途径（10级开启）,3,,,,9001,0,Icon01,UI_Icon_Jineng.png,,,,,1,0,,1001060|1002060|1001560|1003050|1003540|1002540,,,,10,Function1_task_name,,1,1,zz_prefunction_title1,zz_prefunction_title2,FunctionPreview,UI_FunctionPreview_Text_13.png,UI_FunctionPreview_zhuanzhi_01,FunctionBG01,UI_functionOpen_Pic01.png,,1,,,,1
5120,野外战斗,在野图开自动战斗挂着,,,,,5120,0,Icon01,UI_Icon_Guaji.png,,OpenGuaji,,,,10,,,,,,,,,,,,,,,,,,,1,,,,1
11401,贴纸,展示在名片上的小图标，暂时没有,2,,,,114,1,,,,,,,,10,,,,,,,,,,,,,,,,,,,1,,,,1
1201,精英怪小地图图标,成就限制,,,,,1201,0,,,,,,,,10,,,,,,,,,,,,,,,,,,,1,,,3,1
1202,MINI怪小地图图标,成就限制,,,,,1202,0,,,,,,,,10,,,,,,,,,,,,,,,,,,,1,,,4,1
1203,MVP怪小地图图标,成就限制,,,,,1203,0,,,,,,,,10,,,,,,,,,,,,,,,,,,,1,,,5,1
3094,武器锻造,（12级开启）,3,,,,3094,1,Icon01,UI_Icon_Yelian_Wuqi.png,,OpenForgeEvent|1,,,10,0,,1004100,,,,12,Function2_task_name,,2,10,zzdz_prefunction_title1,zzdz_prefunction_title2,FunctionPreview,UI_FunctionPreview_Text_12.png,UI_FunctionPreview_duanzao_07,FunctionBG02,UI_functionOpen_Pic07.png,,1,,,,1
3095,防具锻造,（12级开启）,3,,,,3095,1,Icon01,UI_Icon_Yelian_Fangju.png,,OpenForgeEvent|2,,,,0,,1004100,,,,,,,,,,,,,,FunctionBG02,UI_functionOpen_Pic07.png,,1,,,,1
121,聊天室,聊天室20级开启,1,,,,121,1,,,,OpenChatRoom,,,,20,,,,,,,,,,,,,,,,,,,1,,,,0
5073,葛帔尼亚遗迹,需要靠近点燃的火盆获取光源，然后躲避怪物点亮指定数量的熄灭火盆,3,,,,5073,1,Icon02,UI_Icon_Huodong.png,,EnterDungeonEvent|2088,,,,16,,,,,,,,,,,,,,,,,,,1,,,,1
5078,玩法说明,黑暗迷宫玩法说明,3,,,,5078,0,,,,OpenGameTips|3,,,,16,,,,,,,,,,,,,,,,,,,1,,,,1
5074,灵巧试炼,,3,,,,5074,1,Icon02,UI_Icon_Weituo.png,,EnterDungeonEvent|8000,,,,16,,,,,,,,,,,,,,,,,,,1,,,,1
5077,玩法说明,躲避球玩法说明,3,,,,5077,0,,,,OpenGameTips|4,,,,16,,,,,,,,,,,,,,,,,,,1,,,,1
5075,教国谍影,监视目标，跟踪目标到达目的地但又不能被目标发现,3,,,,5075,1,Icon02,UI_Icon_Yongbingxuanze.png,,EnterDungeonEvent|2140,,,,16,,,,,,,,,,,,,,,,,,,1,,,,1
5079,玩法说明,教国谍影玩法说明,3,,,,5079,0,,,,OpenGameTips|5,,,,16,,,,,,,,,,,,,,,,,,,1,,,,1
114,手册,要改名成“手册”。可以查看游戏里各类信息：魔物信息、装备信息、卡片信息，还包括萌新手册、个性化图鉴（包括头像和贴纸），以及波利团,1,1,2,,114,0,Icon01,UI_Icon_Tujian.png,,OpenIllustrationEvent,,,,16,,,,,,,,,,,,,,,,,,,1,,,,0
11404,装备图鉴,,2,,,114,11404,0,HandbookIcon01,UI_HandbookIcon_Icon_03.png,,OpenIllustrationEquipmentEvent,,,,16,,,,,,,,,,,,,,,,,,,1,,,,1
116,冒险日记,“冒险日记”，收纳了玩家前期游戏历程的简单目标,2,,,114,114,1,HandbookIcon01,UI_HandbookIcon_Icon_01.png,,OpenAdventureDiary,,,,16,,,,,,,,,,,,,,,,,,,1,,,,1
111,公会,,1,3,2,0,111,0,Icon01,UI_Icon_Gonghui.png,Icon_Guild,OpenGuildEvent,,,,16,,,,,,,,,,,,,,,,,,,1,,,,0
2001,主题派对,,2,,,109,2001,1,Icon01,UI_Icon_Gonghuiyanhui.png,,EnterThemeParty,,,,16,,,,,,,,,,,,,,,,FunctionBG04,UI_functionOpen_Pic24.png,,1,,,,1
2002,领取邀请函,,3,,,,2002,0,Icon01,UI_Icon_Gonghuiyanhui.png,,ExchangePartyLetter,,,,16,,,,,,,,,,,,,,,,,,,1,,,,1
2003,进入派对,,3,,,,2003,0,Icon01,UI_Icon_Gonghuiyanhui.png,,EnterThemeParty,,,,16,,,,,,,,,,,,,,,,FunctionBG04,UI_functionOpen_Pic24.png,,1,,,,1
2004,派对说明,主题派对规则说明,3,,,,2004,0,Icon01,UI_Icon_xintiaohuiyi.png,,ShowThemePartyInfo,,,,16,,,,,,,,,,,,,,,,,,,1,,,,1
2005,主题币商店,主题币兑换的商店,3,,,,2005,1,Icon01,UI_Icon_Shangdian.png,,PropertyShopEvent|125,,,,16,,,,,,,,,,,,,,,,,,,1,,,,1
7000,公会宴会,,2|3,,,109,7000,1,Icon01,UI_Icon_Gonghuiyanhui.png,,,,,,16,,,,,,,,,,,,,,,,FunctionBG02,UI_functionOpen_Pic11.png,,1,,,,1
7001,宴会筹备,两个人一起玩的烹饪玩法，类似《Overcooked》,3,,,,7001,1,Icon01,UI_Icon_xintiaohuiyi.png,,EnterCookingDoubleDungeon,,,,16,,,,,,,,,,,,,,,,FunctionBG03,UI_functionOpen_Pic17.png,,1,,,,1
7003,公会升级,升级玩家所在的公会,3,,,,7003,1,Icon01,UI_Icon_xintiaohuiyi.png,,OpenGuildUpgradeEvent,,,,16,,,,,,,,,,,,,,,,,,,1,,,,1
7004,查看菜单,在公会宴会的时候查看公会成员们做的各道菜,3,,,,7004,0,Icon01,UI_Icon_xintiaohuiyi.png,,OnGuildCookMenu,,,,16,,,,,,,,,,,,,,,,,,,1,,,,1
7005,公会宴会介绍,公会宴会介绍,3,,,,7005,0,Icon01,UI_Icon_xintiaohuiyi.png,,OnGuildCookIntroduce,,,,16,,,,,,,,,,,,,,,,,,,1,,,,1
7006,缘分考验,一个公会玩法，让两个公会成员互相拥抱,3,,,,7006,0,Icon01,UI_Icon_xintiaohuiyi.png,,OnGuildCookCupidTask,,,,16,,,,,,,,,,,,,,,,,,,1,,,,1
7007,公会贩卖机,公会里面的商店,3,,,,7007,1,Icon01,UI_Icon_Shangdian.png,,PropertyShopEvent|113,,,,16,,,,,,,,,,,,,,,,,,,1,,,,1
7008,华丽水晶,Emperium，公会内部的一个大水晶,3,,,,7008,1,Icon01,UI_Icon_xintiaohuiyi.png,,OpenGuildCrystalEvent,,,,16,,,,,,,,,,,,,,,,,,,0,,,,1
7010,公会狩猎介绍,公会狩猎介绍,3,,,,7010,0,Icon02,UI_Icon_Gonghuishoulie.png,,ShowGuildHuntInfo,,,,16,,,,,,,,,,,,,,,,,,,1,,,,1
7011,开启香槟祝福,公会开香槟的对话选项,3,,,,7011,1,Icon01,UI_Icon_Gonghuiyanhui.png,,ShowOpenDinnerWishDialog,,,,16,,,,,,,,,,,,,,,,,,,1,,,,1
7012,宴会比赛,周末宴会比赛-宴会筹备,3,,,,7012,1,Icon01,UI_Icon_xintiaohuiyi.png,,EnterCookingDoubleDungeon,,,,16,,,,,,,,,,,,,,,,FunctionBG03,UI_functionOpen_Pic17.png,,1,,,,1
7013,宴会筹备说明,宴会筹备玩法说明,3,,,,7001,0,,,,OpenGameTips|22,,,,16,,,,,,,,,,,,,,,,,,,1,,,,1
7014,纪念原石,,,,,,7014,1,Icon01,UI_Icon_Gonghui.png,,,,,,40,,,,,,,,,,,,,,,,,,,1,,,,1
7015,皇室竞赛,皇室竞赛,,,,,7015,1,,,,,,,,16,,,,,,,,,,,,,,,,,,,1,,,,1
7020,联系会长,联系会长,,,,,7020,1,,,,,,,,16,,,,,,,,,,,,,,,,,,,1,,,,1
7021,公会说明,公会说明,,,,,7021,1,,,,,,,,16,,,,,,,,,,,,,,,,,,,1,,,,1
117,委托,（16级开启）,1,2,2,,117,0,Icon02,UI_Icon_Weituo.png,,DelegateEvent,,1,12,0,,1004110,,,,12,Function3_task_name,,3,12,wt_prefunction_title1,wt_prefunction_title2,FunctionPreview,UI_FunctionPreview_Text_11.png,UI_FunctionPreview_weituo_10,FunctionBG01,UI_functionOpen_Pic03.png,,1,,,,1
11701,委托兑换,,2,,,,117,0,Icon02,UI_Icon_Weituo.png,,,,,,16,,,,,,,,,,,,,,,,,,,1,,,,1
11702,犒赏,,,,,,117,1,,,,,,,,16,,,,,,,,,,,,,,,,,,,1,,,,1
16003,道具,多功能界面——道具分享,,,,,160,1,CommonIcon,UI_CommonIcon_Tab_Daoju_0{0}.png,,,,,,16,,,,,,,,,,,,,,,,,,,1,,,,1
16004,红包,多功能界面——红包,,,,,160,1,CommonIcon,UI_CommonIcon_Tab_Hongbao_0{0}.png,,,,,,16,,,,,,,,,,,,,,,,,,,1,,,,0
16005,角色成长,多功能界面——角色成长,,,,,160,1,CommonIcon,UI_Commonicon_Shuxing_0{0}.png,,,,,,16,,,,,,,,,,,,,,,,,,,1,,,,1
16006,成就,多功能界面——成就分享,,,,,160,1,CommonIcon,UI_Commonicon_Chengjiu_0{0}.png,,,,,,16,,,,,,,,,,,,,,,,,,,1,,,,0
16007,时尚度,多功能界面——典藏值分享,,,,,160,1,CommonIcon,UI_CommonIcon_Tab_Diancangzhi_0{0}.png,,,,,,16,,,,,,,,,,,,,,,,,,,1,,,,1
16008,魔法信笺,,,,,,160,1,CommonIcon,UI_CommonIcon_Tab_Hongbao_0{0}.png,,,,,,16,,,,,,,,,,,,,,,,,,,0,,,,0
5010,,原乐园团委托，现已废弃,2|3,,,109,5010,0,,,,EdenTaskEvent,,,,16,,,,,,,,,,,,,,,,FunctionBG01,UI_functionOpen_Pic03.png,,1,,,,1
10801,,原打造，现已废弃,2|3,,,,10801,0,Icon01,UI_Icon_Duanzao02.png,,EquipElevateEvent,,,,17,,,,,,,,,,,,,,,,,,,1,,,,1
109,活动,一个总的UI入口，里面包括了很多玩法，比如无尽之塔、角斗场、圣歌试炼等,1,2,1,0,109,0,Icon02,UI_Icon_Huodong.png,Icon_risk,RiskEvent,,,,20,,,,,,,,,,,,,,,,,,,1,,,,1
15009,狸猫商店,挂在一个狸猫NPC身上的商店，通过果子换特殊道具,3,,,,15009,1,Icon01,UI_Icon_Shangdian.png,,PropertyShopEvent|122,,,,20,,,,,,,,,,,,,,,,,,,1,,,,1
5050,圣歌试炼,一个快速的组队PVE玩法,2|3,,,117,117,1,Icon01,UI_Icon_Shengge.png,,HymnTrialOpenEvent,,,,20,,,,,,,,,,,,,,,,FunctionBG02,UI_functionOpen_Pic11.png,,1,,,,1
5051,,IDIP玩法禁入-圣歌试炼进入,3,,,,5051,0,,,,,,,,20,,,,,,,,,,,,,,,,,,,1,,,,1
5052,玩法说明,圣歌试炼玩法说明,3,,,,5052,0,,,,OpenGameTips|1,,,,20,,,,,,,,,,,,,,,,,,,1,,,,1
11201,登录奖励,玩家每天登陆游戏可以获取奖励,2,,,112,112,1,,,,SevenDayAwardEvent,,,,20,,,,,,,,,,,,,,,,,,,1,,,,1
11203,等级礼包,玩家到达特定等级获得礼包,2,,,112,112,1,,,,OpenLevelReward,,,,20,,,,,,,,,,,,,,,,,,,1,,,,1
11202,30次签到奖励,,2,,,112,112,1,,,,OpenSignInEvent,,,,20,,,,,,,,,,,,,,,,,,,1,,8,,1
11219,资料片活动等级礼包,资料片活动等级礼包,2,,,,180,1,,,,OpenLevelGift,,,,25,,,,,,,,,,,,,,,,,,,1,,,,1
112,奖励,一个大的奖励界面，包括内容有登陆奖励，签到奖励，等级礼包，问卷调查,1,1,3,,112,0,Icon01,UI_Icon_Jiangli.png,,OpenWelfareEvent,,,,11,,,,,,,,,,,,,,,,,,,1,,,,1
11405,魔物图鉴,,2,,,114,11405,0,HandbookIcon01,UI_HandbookIcon_Icon_02.png,,OpenIllustrationMonsterPanel,,,,20,,,,,,,,,,,,,,,,,,,1,,,,1
3080,魔物藏品商店,魔物图鉴奖励兑换商店,,,,,3080,1,Icon01,UI_Icon_Shangdian.png,,PropertyShopEvent|126,,,,20,,,,,,,,,,,,,,,,,,,1,,,,1
122,佣兵,,1,4,5,0,122,1,Icon02,UI_Icon_Yongbin.png,Icon_Guild,OpenMercenaryEvent,,1,15,20,,,,,,20,,,4,16,yb_prefunction_title1,yb_prefunction_title2,FunctionPreview,UI_FunctionPreview_Text_16.png,UI_FunctionPreview_yongbing_05,FunctionBG04,UI_functionOpen_Pic22.png,,1,,,,0
12201,佣兵天赋,,,,,,122,1,,,,,,,,20,,,,,,,,,,,,,,,,,,,1,,,,1
12202,佣兵升级,,,,,,122,1,,,,,,,,20,,,,,,,,,,,,,,,,,,,1,,,,1
12203,佣兵吃药,,,,,,122,1,,,,,,,,20,,,,,,,,,,,,,,,,,,,1,,,,1
12204,佣兵推荐,,,,,,122,1,,,,,,,,20,,,,,,,,,,,,,,,,,,,1,,,,1
10804,插卡拆卡,在装备上插上卡片和拆下卡片（23级开启）,2|3,,,,10804,1,IconMain,UI_Icon_Kapian.png,,OpenCardForgeEvent,,,,16,,12005250,,,,,,,,,,,,,,FunctionBG03,UI_functionOpen_Pic15.png,,1,,,,1
10805,卡片进阶,卡片的升星进阶,1,4,7,,10805,1,IconMain,UI_Icon_CardEvolution.png,,OpenCardEvolution,,1,,30,,,,,,,,,,,,,,,,,,,1,,,,1
10837,卡片融合,消耗3张低品质卡片合成1张同品质或更高品质卡片,2,,,,10837,1,,,,,,,,30,,,,,,,,,,,,,,,,,,,1,,,,1
118,卖场,,1,1,4,,118,1,Icon02,UI_Icon_Shangcheng.png,,OpenMall,,,,16,,,,,,,,,,,,,,,,,,,1,,,,0
11801,喵喵果实·热销,,,,,,118,1,Icon02,UI_Icon_Shangcheng.png,,OpenMall|101,,,,16,,,,,,,,,,,,,,,,,,,1,,,,0
11802,喵喵果实·礼包,,,,,,118,1,Icon02,UI_Icon_Shangcheng.png,,OpenMall|102,,,,16,,,,,,,,,,,,,,,,,,,1,,,,0
11808,喵喵果实·外观,,,,,,118,1,Icon02,UI_Icon_Shangcheng.png,,OpenMall|103,,,,16,,,,,,,,,,,,,,,,,,,1,,,,0
11803,万事屋·zeny,,,,,,118,1,Icon02,UI_Icon_Shangcheng.png,,OpenMall|201,,,,16,,,,,,,,,,,,,,,,,,,1,,,,0
11804,万事屋·铜币,,,,,,118,1,Icon02,UI_Icon_Shangcheng.png,,OpenMall|202,,,,16,,,,,,,,,,,,,,,,,,,1,,,,0
11805,神秘商店·每日限时,,,,,,118,1,Icon02,UI_Icon_Shangcheng.png,,OpenMall|301,,,,16,,,,,,,,,,,,,,,,,,,1,,,,0
11806,充值界面,,,,,,118,1,Icon02,UI_Icon_Shangcheng.png,,OpenMall|401,,,,11,,,,,,,,,,,,,,,,,,,0,,,,0
11807,积分返利,充值达到指定金额时发放奖励,,,,,11806,1,Icon_ItemConsumables02,UI_icon_item_miaochucunguan5.png,,OpenTotalRechargeAwardUI,,,,11,,,,,,,,,,,,,,,,,,,0,,,,0
11809,积分返利（限时）,,,,,,11806,1,Icon_ItemConsumables02,UI_icon_item_newmiaochucunguan_02.png,,OpenSeasonTotalRechargeAwardUI,,,,11,,,,,,,,,,,,,,,,,,,0,,,,0
11812,限时商店,,,,,,118,1,Icon02,UI_Icon_Shangcheng.png,,OpenMall|1001,,,,16,,,,,,,,,,,,,,,,,,,1,,,,0
10838,喵果返利,消耗达到指定金额时发放奖励,,,,,11806,1,Icon_ItemConsumables02,UI_icon_item_miaochucunguan5.png,,OpenTotalRechargeAwardUI,,,,11,,,,,,,,,,,,,,,,,,,1,,,,1
110,交易,主界面的大按钮，包含交易和摆摊两个分类。任何一种道具只能卖给摆摊或商会其中之一，无法两种渠道都上。,1,1,5,0,110,0,Icon01,UI_Icon_Jiaoyi.png,Icon_Trade,OpenTradePanel,,,,25,,,,,,,,,,,,,,,,,,,1,,,,0
100000,拍卖,主界面的大按钮，拍卖功能,1,2,5,0,100000,1,Icon01,UI_Icon_Jiaoyi.png,Icon_Trade,OpenAuctionPanel,,,,25,,,,,,,,,,,,,,,,,,,1,,,,0
11001,商会,交易分类下的一个页签，跟系统进行交易,2,,,110,110,1,Icon01,UI_Icon_Jiaoyi.png,,,,,,25,,,,,,,,,,,,,,,,,,,1,,,,0
11002,摆摊,交易分类下的一个页签，直接购买或贩卖道具给玩家，无法看到买家或卖家的名字。,2,,,110,110,1,Icon01,UI_Icon_Jiaoyi.png,,,,,,25,,,,,,,,,,,,,,,,,,,1,,,,0
11004,,禁止交易,3,,,110,110,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1
11005,,追缴状态,3,,,110,110,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1
11006,黑市,npc身上的功能，玩家以动态价格出售稀有道具,3,,,110,110,1,Icon01,UI_Icon_Jiaoyi.png,,OpenBlackShop,,,,35,,,,,,,,,,,,,,,,,,,1,,,,1
113,成就,就是一般游戏里的成就,1,4,1,,113,1,Icon01,UI_Icon_Chengjiu02.png,,OpenAchievementEvent,,,,25,,,,,,,,,,,,,,,,,,,1,,,,0
1130,成就屏蔽,如果该成就所属的功能关闭，则不在成就界面显示该成就,2,,,,113,1,,,,,,,,25,,,,,,,,,,,,,,,,,,,1,,,,1
13002,赠送,赠送道具给朋友,2,,,,130,1,,,,OpenGift,,,,25,,,,,,,,,,,,,,,,,,,1,,,,1
11406,卡片图鉴,,2,,,114,11406,1,HandbookIcon01,UI_HandbookIcon_Icon_04.png,,OpenIllustrationCardPanel,,,,25,,,,,,,,,,,,,,,,,,,1,,,,1
11403,波利观察手册,在世界各处寻找隐藏的小精灵，类似《塞尔达：荒野之息》里面的呀哈哈,2,,,114,114,1,HandbookIcon01,UI_HandbookIcon_Icon_05.png,,BoliIllustrationOpenEvent,,,,25,,,,,,,,,,,,,,,,,,,1,,,,1
11402,个性化图鉴,玩家的头像,2,,,114,114,1,HandbookIcon01,UI_HandbookIcon_Icon_06.png,,OpenPersonal,,,,25,,,,,,,,,,,,,,,,,,,1,,,,1
108,合成,用一些材料合成新的道具,1,3,4,0,108,1,Icon01,UI_Icon_Duanzao.png,Icon_Forge,ForgeEvent,,,,28,,,,,,,,,,,,,,,,,,,1,,,,1
5020,贤者的回忆,一个PvE副本系列（30级开启）-功能开关,2|3,,,109,5020,1,Icon01,UI_Icon_jiyisuipian.png,,ThemeDungeonEvent,,1,25,0,,12001280,,,,27,Function6_task_name,,6,25,xzdhy_prefunction_title1,xzdhy_prefunction_title2,FunctionPreview,UI_FunctionPreview_Text_07.png,UI_FunctionPreview_xianzhe_04,FunctionBG01,UI_functionOpen_Pic04.png,,1,,,,1
5021,,IDIP玩法禁入-贤者的回忆进入,3,,,,5021,0,,,,,,,,30,,,,,,,,,,,,,,,,,,,1,,,,1
5023,赫尔海姆扰动,,2|3,,,,5020,1,Icon01,UI_Icon_jiyisuipian.png,,ThemeDungeonEvent,,,42,45,,,,,45,,,,,,,,,,,,,,1,,,,1
5024,,IDIP玩法禁入-贤者的回忆进入（挑战）,3,,,,5024,0,,,,,,,,35,,,,,,,,,,,,,,,,,,,1,,,,1
5025,贤者的回忆（剧情副本）,一个PvE副本系列（30级开启）,2|3,,,109,5020,1,Icon01,UI_Icon_jiyisuipian.png,,ThemeDungeonEvent,,,,0,,12001280,,,,,,,,,,,,,,,,,1,,,,1
5060,恶魔宝藏,在南门、西门拯救小恶魔（靠近小恶魔进行采集），并有机会触发抽奖的玩法。,2|3,,,109,5060,1,Icon01,UI_Icon_Wabao.png,,DigTreasureEvent,,,,30,,,,,,,,,,,,,,,,FunctionBG03,UI_functionOpen_Pic18.png,,1,,,,1
5061,玩法说明,恶魔宝藏玩法说明,3,,,,5061,0,,,,OpenGameTips|15,,,,30,,,,,,,,,,,,,,,,,,,1,,,,1
5100,MVP,boss级别的怪物,2,,,109,5100,0,Icon01,UI_Icon_Mvp.png,,OpenMvpPanel,,,20,30,,,,,,,,,,20,,,,,,,,,1,,,,1
3070,协同商店,贵重品商人,2,,,,3070,1,Icon01,UI_Icon_Shangdian.png,,PropertyShopEvent|120,,,,20,,,,,,,,,,,,,,,,,,,1,,,,1
5140,极限挑战,一个高难度组队PVE玩法，挑战各种Boss魔物。,3,,,,5140,1,Icon01,UI_Icon_Yingxiongtiaozhan.png,,OnHeroChallengeClick,,,20,40,,,,,40,40,,,,25,,,,,,FunctionBG04,UI_functionOpen_Pic19.png,,1,,,,1
5141,玩法介绍,极限挑战玩法介绍,3,,,,5141,0,Icon01,UI_Icon_Yingxiongtiaozhan.png,,OnHeroIntroduceClick,,,,40,,,,,40,,,,,,,,,,,,,,1,,,,1
5142,挑战记录,极限挑战排行榜,3,,,,5142,1,Icon01,UI_Icon_Yingxiongtiaozhan.png,,ActiveNewRank|100,,,,40,,,,,40,,,,,,,,,,,,,,1,,,,1
150,观战,观战,1,2,4,,150,1,Icon02,UI_Icon_Guanzhan02.png,,OpenWatchWarUI,,,,30,,,,,,,,,,,,,,,,,,,1,,,,1
